FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
0,2,10168.37263,7402067.223,12078,0.798521142,1235717.469,24735.85,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136039.7064
1,2,10168.37263,7402067.223,12078,0.798521142,1235717.469,24735.85,643,1998,5310,1,0.893158116,1299,0,0,0,0,0,0,0,0,0,0,0,20098.72766
2,2,10168.37263,7402067.223,12078,0.798521142,1235717.469,24735.85,644,2002,1301,2,1.612326804,1514,1,2,2,6,6,27.80943472,27.80943472,55.61886944,55.61886944,1,1,99294.48948
3,2,10168.37263,7402067.223,12078,0.798521142,1235717.469,24735.85,645,2002,14133,3,0.727673958,1226,11,29,2.636363636,29,2.636363636,2124.708559,193.1553236,2573.214968,233.9286335,6,0.545454545,508749.3429
4,12,5928.983651,4321894.765,11538,0.638721436,1155590.911,23023.0757,621,1968,547,0,0,0,7,7,1,0,0,2297.064533,328.1520761,2297.064533,328.1520761,0,0,780571.958
5,11,2585.889811,1884734.725,7704,0.631704214,799118.1212,15984.09438,621,1968,547,0,0,0,1,1,1,0,0,662.2595789,662.2595789,662.2595789,662.2595789,0,0,660066.9884
6,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,411,1993,3590,2,0.195854822,955,1,10,10,28,28,79.27882607,79.27882607,792.7882607,792.7882607,1,1,4762.076552
7,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,412,1949,2740,6,0.195854822,955,3,43,14.33333333,171,57,1756.667208,585.5557361,25121.07935,8373.693116,3,1,34451.98973
8,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,413,1993,6945,6,-0.013754514,811,0,0,0,0,0,0,0,0,0,0,0,234.1327143
9,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,612,1937,4668,7,-0.237948898,667,19,164,8.631578947,732,38.52631579,10093.74538,531.2497571,97497.4271,5131.443531,18,0.947368421,66371.08633
10,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,613,1953,4846,2,0.516157712,1132,276,475,1.721014493,286,1.036231884,33815.07703,122.518395,56439.10186,204.4894995,275,0.996376812,209946.9768
11,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20977.66256
12,15,360.8723816,263037.3183,3999,0.454634315,426774.0892,8552.417838,624,1962,1985,9,-0.237948898,667,76,82,1.078947368,2,0.026315789,13455.94588,177.0519194,13542.53068,178.1911932,2,0.026315789,34460.94775
13,13,1813.337826,1322158.244,9171,0.444457212,888716.3907,17391.4004,621,1968,547,0,0,0,21,29,1.380952381,1,0.047619048,53950.75399,2569.083523,53950.75399,2569.083523,0,0,522529.4488
14,32,65.9343433,48032.14307,847,0.917249542,116108.4238,2322.744963,132,1957,2808,9,-0.592712392,469,39,113,2.897435897,429,11,9017.188428,231.2099597,26857.83049,688.6623203,31,0.794871795,36805.26069
15,32,65.9343433,48032.14307,847,0.917249542,116108.4238,2322.744963,133,1957,1174,9,-0.592712392,469,40,70,1.75,180,4.5,7654.861727,191.3715432,15531.21549,388.2803873,37,0.925,39818.9704
16,32,65.9343433,48032.14307,847,0.917249542,116108.4238,2322.744963,211,1970,3582,7,0.189206973,951,19,111,5.842105263,392,20.63157895,7605.665213,400.2981691,50668.79206,2666.77853,15,0.789473684,37794.08943
17,32,65.9343433,48032.14307,847,0.917249542,116108.4238,2322.744963,512,1956,2963,8,-0.384313925,576,0,0,0,0,0,0,0,0,0,0,0,1690.103314
18,29,438.9099374,319814.9638,5004,0.400624054,508906.4141,10107.75363,411,1993,3590,2,0.195854822,955,2,4,2,0,0,2103.9152,1051.9576,2103.9152,1051.9576,0,0,33307.16541
19,29,438.9099374,319814.9638,5004,0.400624054,508906.4141,10107.75363,421,1999,5767,1,0.745755984,1231,446,656,1.470852018,433,0.970852018,85688.96643,192.1277274,120847.7666,270.9591179,426,0.955156951,414113.1149
20,7,262.5163155,191247.5025,1946,0.796636099,224011.6346,4486.014955,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19132.12881
21,7,262.5163155,191247.5025,1946,0.796636099,224011.6346,4486.014955,643,1998,5310,1,0.893158116,1299,0,0,0,0,0,0,0,0,0,0,0,19958.45909
22,6,2619.679317,1908119.389,8851,0.553242281,886281.5662,17487.66339,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19848.36904
23,6,2619.679317,1908119.389,8851,0.553242281,886281.5662,17487.66339,642,1998,4819,1,0.405114712,1072,4,4,1,2,0.5,3433.867514,858.4668785,3283.962514,820.9906285,2,0.5,78310.26106
24,6,2619.679317,1908119.389,8851,0.553242281,886281.5662,17487.66339,643,1998,5310,1,0.893158116,1299,412,660,1.601941748,643,1.560679612,71323.99854,173.1165013,125449.6655,304.4894795,402,0.975728155,430617.9022
25,6,2619.679317,1908119.389,8851,0.553242281,886281.5662,17487.66339,644,2002,1301,2,1.612326804,1514,0,0,0,0,0,0,0,0,0,0,0,33599.99782
26,50,1196.310144,870720.0839,4193,0.788895267,448985.1986,8987.180965,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245421.7136
27,50,1196.310144,870720.0839,4193,0.788895267,448985.1986,8987.180965,645,2002,14133,3,0.727673958,1226,0,0,0,0,0,0,0,0,0,0,0,67483.91505
28,51,6121.127387,4454563.629,14033,0.533159301,1328908.597,26555.35104,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,832238.4898
29,18,19319.88932,14089433.46,20744,0.641444659,2085810.464,41735.93767,411,1993,3590,2,0.195854822,955,2,6,3,0,0,10440.74943,5220.374715,10440.74943,5220.374715,0,0,975692.8428
30,18,19319.88932,14089433.46,20744,0.641444659,2085810.464,41735.93767,614,1999,2219,8,-0.350669127,593,199,216,1.085427136,195,0.979899497,16536.0009,83.09548192,18115.10281,91.03066736,195,0.979899497,130931.4779
31,17,720.0946571,525038.0554,3757,0.683689844,402656.0826,8085.813681,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,185361.6138
32,17,720.0946571,525038.0554,3757,0.683689844,402656.0826,8085.813681,614,1999,2219,8,-0.350669127,593,62,62,1,60,0.967741935,4412.05239,71.16213532,4412.05239,71.16213532,60,0.967741935,45365.84423
33,20,981.655774,715648.028,3888,0.771309029,416313.7578,8355.541972,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,218386.2586
34,21,918.2403584,669399.0947,12370,0.234464876,1255691.312,25152.18104,411,1993,3590,2,0.195854822,955,56,45,0.803571429,56,1,11235.47125,200.6334153,9365.650672,167.243762,56,1,698035.2129
35,21,918.2403584,669399.0947,12370,0.234464876,1255691.312,25152.18104,413,1993,6945,6,-0.013754514,811,6,48,8,143,23.83333333,2457.4805,409.5800833,19711.48721,3285.247869,6,1,18853.84524
36,21,918.2403584,669399.0947,12370,0.234464876,1255691.312,25152.18104,613,1953,4846,2,0.516157712,1132,9,12,1.333333333,15,1.666666667,1646.485087,182.9427875,2192.877516,243.6530574,9,1,63288.46285
37,21,918.2403584,669399.0947,12370,0.234464876,1255691.312,25152.18104,614,1999,2219,8,-0.350669127,593,0,0,0,0,0,0,0,0,0,0,0,4306.052041
38,22,1594.65504,1162537.336,5920,0.645634427,615733.8205,12353.03917,411,1993,3590,2,0.195854822,955,6,6,1,6,1,1687.272106,281.2120176,1687.272106,281.2120176,6,1,251327.2355
39,24,1069.494517,779472.4502,5004,0.625443403,514302.1683,10383.6331,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,238123.8372
40,23,2074.080347,1511767.323,8654,0.503651948,846446.2255,17206.86783,411,1993,3590,2,0.195854822,955,4,5,1.25,2,0.5,37.97958475,9.494896187,39.51227918,9.878069794,1,0.25,576817.5585
41,23,2074.080347,1511767.323,8654,0.503651948,846446.2255,17206.86783,415,1993,7944,4,0.337470405,1033,77,194,2.519480519,344,4.467532468,15099.10262,196.0922418,43664.27604,567.06852,72,0.935064935,145156.2219
42,23,2074.080347,1511767.323,8654,0.503651948,846446.2255,17206.86783,421,1999,5767,1,0.745755984,1231,0,0,0,0,0,0,0,0,0,0,0,3212.973918
43,47,2256.925452,1642994.637,9482,0.47920689,894138.5688,17869.12659,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,697014.8434
