FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
28,18,19319.88932,14089433.46,20744,0.641444659,1039486.499,41599.54283,411,1993,3590,2,0.195854822,955,2,6,3,0,0,10440.74943,5220.374715,10440.74943,5220.374715,0,0,549273.7053
29,18,19319.88932,14089433.46,20744,0.641444659,1039486.499,41599.54283,614,1999,2219,8,-0.350669127,593,112,120,1.071428571,112,1,9176.73282,81.93511446,9954.841981,88.88251769,112,1,70337.37851
30,17,720.0946571,525038.0554,3757,0.683689844,193953.6112,7779.388127,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,120357.2566
31,17,720.0946571,525038.0554,3757,0.683689844,193953.6112,7779.388127,614,1999,2219,8,-0.350669127,593,54,54,1,53,0.981481481,4068.883371,75.34969206,4068.883371,75.34969206,52,0.962962963,27890.2223
32,20,981.655774,715648.028,3888,0.771309029,200653.1429,8047.697174,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,152612.7382
33,21,918.2403584,669399.0947,12370,0.234464876,622692.624,24915.93107,411,1993,3590,2,0.195854822,955,16,11,0.6875,16,1,3203.856469,200.2410293,2209.692358,138.1057724,16,1,471564.1258
34,21,918.2403584,669399.0947,12370,0.234464876,622692.624,24915.93107,413,1993,6945,6,-0.013754514,811,2,19,9.5,53,26.5,778.1047639,389.0523819,7415.446509,3707.723254,2,1,7181.169988
35,21,918.2403584,669399.0947,12370,0.234464876,622692.624,24915.93107,613,1953,4846,2,0.516157712,1132,2,3,1.5,4,2,377.520533,188.7602665,559.3421091,279.6710545,2,1,21983.37245
36,22,1594.65504,1162537.336,5920,0.645634427,301165.6392,12073.95011,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,197347.7903
37,24,1069.494517,779472.4502,5004,0.625443403,252617.4039,10091.63627,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,131456.0215
38,23,2074.080347,1511767.323,8654,0.503651948,421392.9537,17120.99056,411,1993,3590,2,0.195854822,955,1,2,2,1,1,1.53269443,1.53269443,3.065388859,3.065388859,1,1,317786.899
