FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
0,2,10168.37263,7402067.223,12078,0.798521142,6789223.951,27171.75189,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150317.6804
1,2,10168.37263,7402067.223,12078,0.798521142,6789223.951,27171.75189,643,1998,5310,1,0.893158116,1299,1,6,6,11,11,309.7473048,309.7473048,1858.483829,1858.483829,1,1,109261.9409
2,2,10168.37263,7402067.223,12078,0.798521142,6789223.951,27171.75189,644,2002,1301,2,1.612326804,1514,0,0,0,0,0,0,0,0,0,0,0,113901.3378
3,2,10168.37263,7402067.223,12078,0.798521142,6789223.951,27171.75189,645,2002,14133,3,0.727673958,1226,46,187,4.065217391,548,11.91304348,14180.50878,308.27193,68858.53573,1496.92469,42,0.913043478,2218766.685
4,12,5928.983651,4321894.765,11538,0.638721436,6146876.301,25147.3123,621,1968,547,0,0,0,9,11,1.222222222,0,0,10061.23331,1117.914813,10061.23331,1117.914813,0,0,1215313.246
5,11,2585.889811,1884734.725,7704,0.631704214,4573849.291,18299.4949,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1588624.044
6,15,360.8723816,263037.3183,3999,0.454634315,2734064.272,10969.9163,412,1949,2740,6,0.195854822,955,34,87,2.558823529,135,3.970588235,4833.467271,142.1608021,14445.47781,424.8669945,32,0.941176471,21942.08057
7,15,360.8723816,263037.3183,3999,0.454634315,2734064.272,10969.9163,611,1900,4260,6,0.544473607,1145,0,0,0,0,0,0,0,0,0,0,0,295.1091871
8,15,360.8723816,263037.3183,3999,0.454634315,2734064.272,10969.9163,612,1937,4668,7,-0.237948898,667,325,532,1.636923077,1190,3.661538462,62798.9011,193.227388,163082.3131,501.7917326,266,0.818461538,312971.0628
9,15,360.8723816,263037.3183,3999,0.454634315,2734064.272,10969.9163,613,1953,4846,2,0.516157712,1132,23,37,1.608695652,23,1,4188.871677,182.1248555,6844.286604,297.5776784,23,1,68033.53982
