sindex,SiteNum,Spname,LocalRisk,statusredBook,TEX
9,28,זמיר הירדן,DD,חסר מידע,poultry
9,30,זמיר הירדן,DD,חסר מידע,poultry
9,31,זמיר הירדן,DD,חסר מידע,poultry
9,32,זמיר הירדן,DD,חסר מידע,poultry
9,33,זמיר הירדן,DD,חסר מידע,poultry
9,34,זמיר הירדן,DD,חסר מידע,poultry
9,35,זמיר הירדן,DD,חסר מידע,poultry
9,36,זמיר הירדן,DD,חסר מידע,poultry
9,37,זמיר הירדן,DD,חסר מידע,poultry
9,38,זמיר הירדן,DD,חסר מידע,poultry
9,39,זמיר הירדן,DD,חסר מידע,poultry
9,40,זמיר הירדן,DD,חסר מידע,poultry
9,41,זמיר הירדן,DD,חסר מידע,poultry
9,42,זמיר הירדן,DD,חסר מידע,poultry
9,43,זמיר הירדן,DD,חסר מידע,poultry
9,47,זמיר הירדן,DD,חסר מידע,poultry
9,48,זמיר הירדן,DD,חסר מידע,poultry
9,49,זמיר הירדן,DD,חסר מידע,poultry
9,54,זמיר הירדן,DD,חסר מידע,poultry
9,56,זמיר הירדן,DD,חסר מידע,poultry
10,19,חומט מנומר דרומי,DD,חסר מידע,reptiles
11,1,סבכי החורש,DD,חסר מידע,poultry
11,2,סבכי החורש,DD,חסר מידע,poultry
11,6,סבכי החורש,DD,חסר מידע,poultry
11,7,סבכי החורש,DD,חסר מידע,poultry
11,9,סבכי החורש,DD,חסר מידע,poultry
11,10,סבכי החורש,DD,חסר מידע,poultry
11,11,סבכי החורש,DD,חסר מידע,poultry
11,14,סבכי החורש,DD,חסר מידע,poultry
11,16,סבכי החורש,DD,חסר מידע,poultry
11,18,סבכי החורש,DD,חסר מידע,poultry
11,19,סבכי החורש,DD,חסר מידע,poultry
11,21,סבכי החורש,DD,חסר מידע,poultry
11,22,סבכי החורש,DD,חסר מידע,poultry
11,23,סבכי החורש,DD,חסר מידע,poultry
11,24,סבכי החורש,DD,חסר מידע,poultry
11,27,סבכי החורש,DD,חסר מידע,poultry
11,28,סבכי החורש,DD,חסר מידע,poultry
11,30,סבכי החורש,DD,חסר מידע,poultry
11,31,סבכי החורש,DD,חסר מידע,poultry
11,32,סבכי החורש,DD,חסר מידע,poultry
11,33,סבכי החורש,DD,חסר מידע,poultry
11,36,סבכי החורש,DD,חסר מידע,poultry
11,37,סבכי החורש,DD,חסר מידע,poultry
11,39,סבכי החורש,DD,חסר מידע,poultry
11,40,סבכי החורש,DD,חסר מידע,poultry
11,41,סבכי החורש,DD,חסר מידע,poultry
11,42,סבכי החורש,DD,חסר מידע,poultry
11,43,סבכי החורש,DD,חסר מידע,poultry
11,45,סבכי החורש,DD,חסר מידע,poultry
11,46,סבכי החורש,DD,חסר מידע,poultry
11,47,סבכי החורש,DD,חסר מידע,poultry
11,48,סבכי החורש,DD,חסר מידע,poultry
11,49,סבכי החורש,DD,חסר מידע,poultry
11,50,סבכי החורש,DD,חסר מידע,poultry
11,51,סבכי החורש,DD,חסר מידע,poultry
11,52,סבכי החורש,DD,חסר מידע,poultry
11,54,סבכי החורש,DD,חסר מידע,poultry
11,56,סבכי החורש,DD,חסר מידע,poultry
12,1,סבכי שחור כיפה,DD,חסר מידע,poultry
12,2,סבכי שחור כיפה,DD,חסר מידע,poultry
12,3,סבכי שחור כיפה,DD,חסר מידע,poultry
12,4,סבכי שחור כיפה,DD,חסר מידע,poultry
12,5,סבכי שחור כיפה,DD,חסר מידע,poultry
12,6,סבכי שחור כיפה,DD,חסר מידע,poultry
12,7,סבכי שחור כיפה,DD,חסר מידע,poultry
12,8,סבכי שחור כיפה,DD,חסר מידע,poultry
12,9,סבכי שחור כיפה,DD,חסר מידע,poultry
12,10,סבכי שחור כיפה,DD,חסר מידע,poultry
12,11,סבכי שחור כיפה,DD,חסר מידע,poultry
12,12,סבכי שחור כיפה,DD,חסר מידע,poultry
12,13,סבכי שחור כיפה,DD,חסר מידע,poultry
12,14,סבכי שחור כיפה,DD,חסר מידע,poultry
12,15,סבכי שחור כיפה,DD,חסר מידע,poultry
12,16,סבכי שחור כיפה,DD,חסר מידע,poultry
12,17,סבכי שחור כיפה,DD,חסר מידע,poultry
12,18,סבכי שחור כיפה,DD,חסר מידע,poultry
12,19,סבכי שחור כיפה,DD,חסר מידע,poultry
12,20,סבכי שחור כיפה,DD,חסר מידע,poultry
12,21,סבכי שחור כיפה,DD,חסר מידע,poultry
12,22,סבכי שחור כיפה,DD,חסר מידע,poultry
12,23,סבכי שחור כיפה,DD,חסר מידע,poultry
12,24,סבכי שחור כיפה,DD,חסר מידע,poultry
12,25,סבכי שחור כיפה,DD,חסר מידע,poultry
12,26,סבכי שחור כיפה,DD,חסר מידע,poultry
12,27,סבכי שחור כיפה,DD,חסר מידע,poultry
12,28,סבכי שחור כיפה,DD,חסר מידע,poultry
12,29,סבכי שחור כיפה,DD,חסר מידע,poultry
12,30,סבכי שחור כיפה,DD,חסר מידע,poultry
12,31,סבכי שחור כיפה,DD,חסר מידע,poultry
12,32,סבכי שחור כיפה,DD,חסר מידע,poultry
12,33,סבכי שחור כיפה,DD,חסר מידע,poultry
12,34,סבכי שחור כיפה,DD,חסר מידע,poultry
12,35,סבכי שחור כיפה,DD,חסר מידע,poultry
12,36,סבכי שחור כיפה,DD,חסר מידע,poultry
12,37,סבכי שחור כיפה,DD,חסר מידע,poultry
12,38,סבכי שחור כיפה,DD,חסר מידע,poultry
12,39,סבכי שחור כיפה,DD,חסר מידע,poultry
12,40,סבכי שחור כיפה,DD,חסר מידע,poultry
12,41,סבכי שחור כיפה,DD,חסר מידע,poultry
12,42,סבכי שחור כיפה,DD,חסר מידע,poultry
12,43,סבכי שחור כיפה,DD,חסר מידע,poultry
12,44,סבכי שחור כיפה,DD,חסר מידע,poultry
12,45,סבכי שחור כיפה,DD,חסר מידע,poultry
12,46,סבכי שחור כיפה,DD,חסר מידע,poultry
12,47,סבכי שחור כיפה,DD,חסר מידע,poultry
12,48,סבכי שחור כיפה,DD,חסר מידע,poultry
12,49,סבכי שחור כיפה,DD,חסר מידע,poultry
12,50,סבכי שחור כיפה,DD,חסר מידע,poultry
12,51,סבכי שחור כיפה,DD,חסר מידע,poultry
12,52,סבכי שחור כיפה,DD,חסר מידע,poultry
12,53,סבכי שחור כיפה,DD,חסר מידע,poultry
12,54,סבכי שחור כיפה,DD,חסר מידע,poultry
12,55,סבכי שחור כיפה,DD,חסר מידע,poultry
12,56,סבכי שחור כיפה,DD,חסר מידע,poultry
12,57,סבכי שחור כיפה,DD,חסר מידע,poultry
12,58,סבכי שחור כיפה,DD,חסר מידע,poultry
13,1,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,6,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,10,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,11,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,18,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,19,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,20,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,21,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,22,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,23,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,24,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,27,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,28,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,37,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,40,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,41,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,42,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,43,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,44,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,45,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,46,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,47,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,48,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,49,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,51,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
13,52,עפרונן קצר-אצבעות,DD,חסר מידע,poultry
14,14,שיחנית זית,DD,חסר מידע,poultry
15,40,תחמס אירופי,DD,חסר מידע,poultry
16,1,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,6,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,9,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,10,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,11,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,15,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,16,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,17,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,18,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,19,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,20,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,21,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,22,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,23,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,24,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,26,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,27,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,28,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,37,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,40,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,41,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,42,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,43,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,44,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,45,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,46,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,47,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,48,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,49,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,51,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
16,52,פיפיון צהוב,"EN (A1acd,B1+2abcde,C1+2a,D)",סכנת הכחדה,poultry
17,1,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,2,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,9,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,15,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,16,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,21,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,35,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,37,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,40,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,47,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
17,49,קרפדה ירוקה,EN (A1c),סכנת הכחדה,amphibians
18,19,צב-יבשה מדברי,‎EN (A2cd B)‎,סכנת הכחדה,reptiles
19,13,שועל הנגב (חולות),"EN (A4ce,B,C)",סכנת הכחדה,mammals
20,1,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,2,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,6,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,10,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,11,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,16,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,18,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,19,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,20,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,21,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,22,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,23,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,24,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,27,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,28,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,37,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,40,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,42,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,43,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,44,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,45,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,46,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,47,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,48,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,49,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,50,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,51,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
20,52,בז אדום,"EN (B2abcde+3ae,C1+2ab)",סכנת הכחדה,poultry
21,1,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,18,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,19,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,37,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,39,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,40,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,41,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,43,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
21,46,צבוע מפוספס,EN (D),סכנת הכחדה,mammals
