FID,SitePolygo,dunam,Shape_Area,parmiter,Ci,buff_area,buff_perim,STAT_1,AGE,POP15,RATE15,INDX8,RATE8,Count_,Sum_floors,Avg_floors,Sum_appart,Avg_appart,Sum_Shape_,Avg_Shape_,Sum_living,Avg_living,Sum_reside,Avg_reside,part_area
0,2,10168.37263,7402067.223,12078,0.798521142,3203645.644,25658.63759,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308552.7548
1,2,10168.37263,7402067.223,12078,0.798521142,3203645.644,25658.63759,643,1998,5310,1,0.893158116,1299,0,0,0,0,0,0,0,0,0,0,0,70861.97519
2,2,10168.37263,7402067.223,12078,0.798521142,3203645.644,25658.63759,644,2002,1301,2,1.612326804,1514,0,0,0,0,0,0,0,0,0,0,0,99287.476
3,2,10168.37263,7402067.223,12078,0.798521142,3203645.644,25658.63759,645,2002,14133,3,0.727673958,1226,28,103,3.678571429,260,9.285714286,8651.748783,308.991028,36837.06745,1315.609552,19,0.678571429,1298189.439
4,12,5928.983651,4321894.765,11538,0.638721436,2923291.231,23712.7888,621,1968,547,0,0,0,23,32,1.391304348,0,0,15620.93563,679.1711141,15620.93563,679.1711141,0,0,1373243.744
5,11,2585.889811,1884734.725,7704,0.631704214,2106149.265,16851.07267,621,1968,547,0,0,0,18,20,1.111111111,2,0.111111111,12343.55797,685.7532205,12343.55797,685.7532205,0,0,1393168.986
6,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,411,1993,3590,2,0.195854822,955,1,10,10,28,28,79.27882607,79.27882607,792.7882607,792.7882607,1,1,33030.68021
7,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,412,1949,2740,6,0.195854822,955,33,137,4.151515152,402,12.18181818,7512.247353,227.6438592,49392.80356,1496.751623,27,0.818181818,61684.74782
8,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,413,1993,6945,6,-0.013754514,811,1,8,8,32,32,358.29584,358.29584,2866.36672,2866.36672,1,1,1910.566991
9,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,612,1937,4668,7,-0.237948898,667,125,307,2.456,976,7.808,30126.03563,241.008285,128847.8886,1030.783109,112,0.896,177142.5458
10,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,613,1953,4846,2,0.516157712,1132,408,677,1.659313725,421,1.031862745,54643.38862,133.9298741,87604.18988,214.7161517,401,0.982843137,304031.2786
11,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51559.59465
12,15,360.8723816,263037.3183,3999,0.454634315,1178938.506,9471.39386,624,1962,1985,9,-0.237948898,667,233,249,1.068669528,26,0.111587983,32116.74127,137.8400913,32395.06701,139.0346224,19,0.081545064,81219.17016
13,13,1813.337826,1322158.244,9171,0.444457212,2049004.552,16675.46197,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,15881.85311
14,13,1813.337826,1322158.244,9171,0.444457212,2049004.552,16675.46197,621,1968,547,0,0,0,33,44,1.333333333,1,0.03030303,59420.22193,1800.612786,59420.22193,1800.612786,0,0,872983.693
15,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,132,1957,2808,9,-0.592712392,469,94,253,2.691489362,865,9.20212766,20061.66074,213.4219228,55537.59089,590.825435,67,0.712765957,105576.3281
16,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,133,1957,1174,9,-0.592712392,469,38,121,3.184210526,330,8.684210526,6776.755038,178.3356589,22495.80329,591.9948235,36,0.947368421,39930.58551
17,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,211,1970,3582,7,0.189206973,951,89,229,2.573033708,428,4.808988764,21601.38403,242.7121801,72461.04455,814.1690399,83,0.93258427,98623.98602
18,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,212,1970,4524,8,-0.489778723,521,1,2,2,0,0,1211.258371,1211.258371,1211.258371,1211.258371,0,0,742.3467202
19,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,511,1956,2104,9,-0.291593449,627,0,0,0,0,0,0,0,0,0,0,0,1143.918509
20,32,65.9343433,48032.14307,847,0.917249542,408074.3837,3265.195472,512,1956,2963,8,-0.384313925,576,0,0,0,0,0,0,0,0,0,0,0,1666.002183
21,29,438.9099374,319814.9638,5004,0.400624054,1225753.318,9891.022113,223,1970,2535,6,0.345994213,1039,34,62,1.823529412,76,2.235294118,6131.623231,180.3418597,11994.33713,352.7746213,31,0.911764706,32367.91163
22,29,438.9099374,319814.9638,5004,0.400624054,1225753.318,9891.022113,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,111297.0804
23,29,438.9099374,319814.9638,5004,0.400624054,1225753.318,9891.022113,421,1999,5767,1,0.745755984,1231,885,1377,1.555932203,907,1.024858757,154336.1274,174.3911044,230954.0196,260.9649939,867,0.979661017,739015.3362
24,29,438.9099374,319814.9638,5004,0.400624054,1225753.318,9891.022113,422,1970,5718,4,0.613118037,1169,0,0,0,0,0,0,0,0,0,0,0,1871.267884
25,29,438.9099374,319814.9638,5004,0.400624054,1225753.318,9891.022113,222,1970,3091,8,-0.620032097,457,11,44,4,88,8,1640.310605,149.1191459,6561.242421,596.4765837,11,1,13813.32134
26,7,262.5163155,191247.5025,1946,0.796636099,674710.1782,5416.819276,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50420.65483
27,7,262.5163155,191247.5025,1946,0.796636099,674710.1782,5416.819276,643,1998,5310,1,0.893158116,1299,1,2,2,0,0,19.598884,19.598884,19.598884,19.598884,0,0,74871.0456
28,6,2619.679317,1908119.389,8851,0.553242281,2111424.772,17076.92428,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75120.08865
29,6,2619.679317,1908119.389,8851,0.553242281,2111424.772,17076.92428,642,1998,4819,1,0.405114712,1072,31,36,1.161290323,34,1.096774194,7025.046404,226.6144001,7850.22376,253.2330245,31,1,230963.7141
30,6,2619.679317,1908119.389,8851,0.553242281,2111424.772,17076.92428,643,1998,5310,1,0.893158116,1299,826,1369,1.657384988,1217,1.473365617,134530.9354,162.8703818,234429.0427,283.8124003,812,0.983050847,713253.3892
31,6,2619.679317,1908119.389,8851,0.553242281,2111424.772,17076.92428,644,2002,1301,2,1.612326804,1514,8,15,1.875,8,1,1352.833999,169.1042499,2497.649269,312.2061587,8,1,106373.0126
32,50,1196.310144,870720.0839,4193,0.788895267,1237388.971,9913.748221,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497554.7154
33,50,1196.310144,870720.0839,4193,0.788895267,1237388.971,9913.748221,645,2002,14133,3,0.727673958,1226,0,0,0,0,0,0,0,0,0,0,0,167271.7889
34,51,6121.127387,4454563.629,14033,0.533159301,3144729.401,26180.38476,314,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1147684.675
35,18,19319.88932,14089433.46,20744,0.641444659,5258359.131,42035.83734,411,1993,3590,2,0.195854822,955,5,15,3,0,0,25091.84168,5018.368335,25091.84168,5018.368335,0,0,1941707.572
36,18,19319.88932,14089433.46,20744,0.641444659,5258359.131,42035.83734,614,1999,2219,8,-0.350669127,593,194,205,1.056701031,186,0.958762887,16123.88931,83.1128315,17144.09041,88.37160004,186,0.958762887,145306.8966
37,18,19319.88932,14089433.46,20744,0.641444659,5258359.131,42035.83734,621,1968,547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8746.170918
38,17,720.0946571,525038.0554,3757,0.683689844,1121785.162,9018.968559,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,433635.6696
39,17,720.0946571,525038.0554,3757,0.683689844,1121785.162,9018.968559,614,1999,2219,8,-0.350669127,593,18,18,1,17,0.944444444,1311.608753,72.86715294,1311.608753,72.86715294,17,0.944444444,19858.49275
40,20,981.655774,715648.028,3888,0.771309029,1156150.853,9282.91377,411,1993,3590,2,0.195854822,955,0,0,0,0,0,0,0,0,0,0,0,364083.8727
