SiteNum,SitetName,VegSP,שכיחויות_מלל,אנדמיות_מלל,מוגן,תפוצה פיטוגיאוגרפית (דנין),סטטוס,מספר אדום,אדום,Notes,index
1,גבעות גורל,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
2,יער דודאים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
6,כתף באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
9,נחל באר שבע מזרח,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
10,תל באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
12,עמק שרה,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
13,עמק שרה דרום,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
14,נחל בקע עליון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
18,גבעות חבלנים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
22,בתרונות נאות אילן,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
23,מורדות צפוניים נחל באר שבע,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
24,שדות חצרים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
26,רזרבה קרקעית לבתי הקברות,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
27,נחל חצרים עליון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
31,איצטדיון וסרמיל (גן אלזה),תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
37,נחל עולים תחתון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
39,נחל סוללים תיכון,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
41,שדות נחל כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
42,מעלה נחל כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
43,מורדות נחלי עשן - כובשים,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
45,רמת הבסיס הנטוש,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
48,יער נחל עשן מערב,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
51,שדות אגן פטיש,תמריר מרוקני,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,497
4,נחל כובשים עליון,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
33,גן שני אליהו,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
35,פארק הדסה,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
46,יובלי נחל עשן,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
58,גן וינגייט,תמר מצוי,תדיר,,1,סהרו-ערבי,מוגן,,,,496
55,בתי הקברות הישנים,תלתן תריסני,מצוי,,,ים-תיכוני,,,,,495
9,נחל באר שבע מזרח,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
11,פארק נחל באר שבע,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
12,עמק שרה,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
14,נחל בקע עליון,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
18,גבעות חבלנים,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
24,שדות חצרים,תלתן לביד,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,494
1,גבעות גורל,תלתן חקלאי,נפוץ,,,ים-תיכוני,,,,,493
4,נחל כובשים עליון,תלתן זוחל,תדיר,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,492
30,פארק יעלים (גן גדולי ישראל),תלתן זוחל,תדיר,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,492
33,גן שני אליהו,תלתן זוחל,תדיר,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,492
38,נחל סוללים עליון,תלתן זוחל,תדיר,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,492
51,שדות אגן פטיש,תלתן הפוך,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,491
36,כפר רפאל והגן הזואולוגי,תלתן הביצות,תדיר,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,490
1,גבעות גורל,תלתן הארגמן,נפוץ,,,ים-תיכוני,,,,,489
14,נחל בקע עליון,תלתן הארגמן,נפוץ,,,ים-תיכוני,,,,,489
8,בית הלוחם,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
9,נחל באר שבע מזרח,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
10,תל באר שבע,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
11,פארק נחל באר שבע,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
12,עמק שרה,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
13,עמק שרה דרום,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
14,נחל בקע עליון,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
18,גבעות חבלנים,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
20,"נחל ב""ש - שוליים דרום מערביים",תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
30,פארק יעלים (גן גדולי ישראל),תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
32,הקניון הקבור,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
33,גן שני אליהו,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
38,נחל סוללים עליון,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
39,נחל סוללים תיכון,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
40,נחל סוללים תחתון,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
48,יער נחל עשן מערב,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
57,תחנת הרכבת הטורקית,תודרה סייגית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,488
1,גבעות גורל,תגית מצויה,נפוץ,,,ים-תיכוני,,,,,487
2,יער דודאים,תגית מצויה,נפוץ,,,ים-תיכוני,,,,,487
5,"שדרות צה""ל",תגית מצויה,נפוץ,,,ים-תיכוני,,,,,487
51,שדות אגן פטיש,תגית מצויה,נפוץ,,,ים-תיכוני,,,,,487
42,מעלה נחל כובשים,תגית ארץ-ישראלית,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,486
1,גבעות גורל,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
18,גבעות חבלנים,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
27,נחל חצרים עליון,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
28,גבעות פארק באר שבע,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
44,מורדות הבסיס הנטוש,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
46,יובלי נחל עשן,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
49,נחל עשן מערב,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
51,שדות אגן פטיש,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
52,קניון נחל פטיש,תגית ארגמנית,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,485
1,גבעות גורל,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
3,רמות מערב,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
42,מעלה נחל כובשים,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
44,מורדות הבסיס הנטוש,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
45,רמת הבסיס הנטוש,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
46,יובלי נחל עשן,שרביטן ריסני,מצוי,,,סהרו-ערבי,,,,,484
4,נחל כובשים עליון,שקד מצוי,מצוי,,1,ים-תיכוני - אירנו-טורני,מוגן,,,,483
1,גבעות גורל,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
2,יער דודאים,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
18,גבעות חבלנים,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
19,רמת שעירים,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
23,מורדות צפוניים נחל באר שבע,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
27,נחל חצרים עליון,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
32,הקניון הקבור,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
46,יובלי נחל עשן,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
47,קניון נחל עשן,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
50,יער מעלה נחל עשן,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
52,קניון נחל פטיש,שערור שעיר,נפוץ,"ישראל, סוריה ולבנון",,ים-תיכוני,,,,,482
2,יער דודאים,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
12,עמק שרה,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
14,נחל בקע עליון,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
41,שדות נחל כובשים,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
43,מורדות נחלי עשן - כובשים,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
47,קניון נחל עשן,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
49,נחל עשן מערב,שעורת התבור,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,481
1,גבעות גורל,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
2,יער דודאים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
6,כתף באר שבע,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
7,בית החולים הוטרינרי,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
8,בית הלוחם,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
9,נחל באר שבע מזרח,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
10,תל באר שבע,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
11,פארק נחל באר שבע,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
12,עמק שרה,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
13,עמק שרה דרום,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
14,נחל בקע עליון,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
17,שכונת נחל בקע מערב,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
18,גבעות חבלנים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
19,רמת שעירים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
20,"נחל ב""ש - שוליים דרום מערביים",שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
22,בתרונות נאות אילן,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
27,נחל חצרים עליון,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
31,איצטדיון וסרמיל (גן אלזה),שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
35,פארק הדסה,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
36,כפר רפאל והגן הזואולוגי,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
40,נחל סוללים תחתון,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
41,שדות נחל כובשים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
42,מעלה נחל כובשים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
43,מורדות נחלי עשן - כובשים,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
45,רמת הבסיס הנטוש,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
47,קניון נחל עשן,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
48,יער נחל עשן מערב,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
51,שדות אגן פטיש,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
52,קניון נחל פטיש,שעורת העכבר,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,480
1,גבעות גורל,שעורת הבולבוסין,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,479
44,מורדות הבסיס הנטוש,שעורת הבולבוסין,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,479
46,יובלי נחל עשן,שעורת הבולבוסין,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,479
47,קניון נחל עשן,שעורת הבולבוסין,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,479
52,קניון נחל פטיש,שעורת הבולבוסין,נפוץ,,,ים-תיכוני - אירנו-טורני,,,,,479
2,יער דודאים,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
3,רמות מערב,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
5,"שדרות צה""ל",שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
9,נחל באר שבע מזרח,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
10,תל באר שבע,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
11,פארק נחל באר שבע,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
12,עמק שרה,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
13,עמק שרה דרום,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
14,נחל בקע עליון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
17,שכונת נחל בקע מערב,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
19,רמת שעירים,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
22,בתרונות נאות אילן,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
27,נחל חצרים עליון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
28,גבעות פארק באר שבע,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
29,חורשת לון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
31,איצטדיון וסרמיל (גן אלזה),שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
32,הקניון הקבור,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
36,כפר רפאל והגן הזואולוגי,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
37,נחל עולים תחתון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
38,נחל סוללים עליון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
39,נחל סוללים תיכון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
40,נחל סוללים תחתון,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
41,שדות נחל כובשים,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
42,מעלה נחל כובשים,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
43,מורדות נחלי עשן - כובשים,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
45,רמת הבסיס הנטוש,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
46,יובלי נחל עשן,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
51,שדות אגן פטיש,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
56,בית הקברות הצבאי הבריטי,שסיע ערבי,נפוץ,,,אירנו-טורני - סהרו-ערבי,,,,,478
1,גבעות גורל,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
2,יער דודאים,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
4,נחל כובשים עליון,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
9,נחל באר שבע מזרח,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
10,תל באר שבע,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
13,עמק שרה דרום,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
14,נחל בקע עליון,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
17,שכונת נחל בקע מערב,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
18,גבעות חבלנים,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
19,רמת שעירים,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
22,בתרונות נאות אילן,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
37,נחל עולים תחתון,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
39,נחל סוללים תיכון,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
40,נחל סוללים תחתון,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
42,מעלה נחל כובשים,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
45,רמת הבסיס הנטוש,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
47,קניון נחל עשן,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
50,יער מעלה נחל עשן,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
51,שדות אגן פטיש,שנס המדבר,מצוי,,,אירנו-טורני,,,,,477
1,גבעות גורל,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
9,נחל באר שבע מזרח,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
11,פארק נחל באר שבע,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
12,עמק שרה,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
14,נחל בקע עליון,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
17,שכונת נחל בקע מערב,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
18,גבעות חבלנים,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
23,מורדות צפוניים נחל באר שבע,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
24,שדות חצרים,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
26,רזרבה קרקעית לבתי הקברות,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
27,נחל חצרים עליון,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
29,חורשת לון,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
37,נחל עולים תחתון,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
41,שדות נחל כובשים,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
47,קניון נחל עשן,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
49,נחל עשן מערב,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
50,יער מעלה נחל עשן,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
51,שדות אגן פטיש,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
52,קניון נחל פטיש,שן-ארי שעירה,תדיר,,,אירנו-טורני - סהרו-ערבי,,,,,476
48,יער נחל עשן מערב,שמשון ריסני,מצוי,,,ים-תיכוני,,,,,475
1,גבעות גורל,שמשון מצרי,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,474
2,יער דודאים,שמשון מצרי,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,474
5,"שדרות צה""ל",שמשון מצרי,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,474
52,קניון נחל פטיש,שמשון מצרי,מצוי,,,ים-תיכוני - אירנו-טורני,,,,,474
1,גבעות גורל,שמשון מצוי,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,473
9,נחל באר שבע מזרח,שמשון מצוי,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,473
31,איצטדיון וסרמיל (גן אלזה),שמשון מצוי,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,473
46,יובלי נחל עשן,שמשון מצוי,נפוץ,,,אירו-סיבירי - ים-תיכוני - אירנו-טורני,,,,,473
18,גבעות חבלנים,שמשון הנגב,תדיר,,,סהרו-ערבי,,,,,472
1,גבעות גורל,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
2,יער דודאים,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
5,"שדרות צה""ל",שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
6,כתף באר שבע,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
46,יובלי נחל עשן,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
47,קניון נחל עשן,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
52,קניון נחל פטיש,שמשון הדור,תדיר,,,אירנו-טורני,,,,,471
1,גבעות גורל,שלחופן קרומי,מצוי,,,ים-תיכוני,,,,,470
1,גבעות גורל,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
2,יער דודאים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
3,רמות מערב,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
4,נחל כובשים עליון,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
5,"שדרות צה""ל",שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
8,בית הלוחם,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
9,נחל באר שבע מזרח,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
10,תל באר שבע,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
11,פארק נחל באר שבע,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
13,עמק שרה דרום,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
14,נחל בקע עליון,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
18,גבעות חבלנים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
26,רזרבה קרקעית לבתי הקברות,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
27,נחל חצרים עליון,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
31,איצטדיון וסרמיל (גן אלזה),שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
32,הקניון הקבור,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
35,פארק הדסה,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
39,נחל סוללים תיכון,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
40,נחל סוללים תחתון,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
41,שדות נחל כובשים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
42,מעלה נחל כובשים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
43,מורדות נחלי עשן - כובשים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
45,רמת הבסיס הנטוש,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
46,יובלי נחל עשן,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
50,יער מעלה נחל עשן,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
51,שדות אגן פטיש,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
55,בתי הקברות הישנים,שלח הערבות,נפוץ,,,סהרו-ערבי,,,,,469
1,גבעות גורל,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
11,פארק נחל באר שבע,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
14,נחל בקע עליון,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
29,חורשת לון,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
37,נחל עולים תחתון,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
40,נחל סוללים תחתון,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
41,שדות נחל כובשים,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
42,מעלה נחל כובשים,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
51,שדות אגן פטיש,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
52,קניון נחל פטיש,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
55,בתי הקברות הישנים,שלוחית קירחת,תדיר,,,ים-תיכוני - אירנו-טורני,,,,,468
1,גבעות גורל,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
2,יער דודאים,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
6,כתף באר שבע,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
44,מורדות הבסיס הנטוש,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
45,רמת הבסיס הנטוש,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
46,יובלי נחל עשן,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
47,קניון נחל עשן,שלהבית קצרת-שיניים,נפוץ,ישראל וירדן,,אירנו-טורני,,,,,467
